name,label
Tinea%20Versicolor_85rotated270.jpg,Tinea%20Versicolor
Vitiligo_162rotated90.jpg,Vitiligo
Seborrheic%20Eczema_109.jpg,Seborrheic%20Eczema
Erysipelas_3rotated90.jpg,Erysipelas
Acrodermatitis_122.jpg,Acrodermatitis
Tinea%20Versicolor_151_horivertical.jpg,Tinea%20Versicolor
Vitiligo_28rotated90.jpg,Vitiligo
Herpes%20Stomatitis_54rotated90.jpg,Herpes%20Stomatitis
Fungal%20Nail%20Infection_20_vertical.jpg,Fungal%20Nail%20Infection
Acrodermatitis_191rotated180.jpg,Acrodermatitis
Shingles_31_vertical.jpg,Shingles
Lupus_21.jpg,Lupus
Erysipelas_28.jpg,Erysipelas
Dermatomyositis_50_vertical.jpg,Dermatomyositis
Eczema_76_vertical.jpg,Eczema
Skin%20Cancer_14.jpg,Skin%20Cancer
Shingles_56_horivertical.jpg,Shingles
Seborrheic%20Eczema_113.jpg,Seborrheic%20Eczema
Stasis%20Dermatitis%20and%20Leg%20Ulcers_91rotated270.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Herpes%20Stomatitis_52_horivertical.jpg,Herpes%20Stomatitis
Pemphigoid_268_horivertical.jpg,Pemphigoid
Acrodermatitis_91rotated90.jpg,Acrodermatitis
Necrotizing%20Fasciitis_63rotated180.jpg,Necrotizing%20Fasciitis
Mouth%20Ulcers_42_vertical.jpg,Mouth%20Ulcers
Stasis%20Dermatitis%20and%20Leg%20Ulcers_240rotated180.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Impetigo_6rotated180.jpg,Impetigo
Dyshidrotic%20Eczema_68_vertical.jpg,Dyshidrotic%20Eczema
Eczema_4_vertical.jpg,Eczema
Dyshidrotic%20Eczema_13_vertical.jpg,Dyshidrotic%20Eczema
Molluscum%20Contagiosum_10_horizontal.jpg,Molluscum%20Contagiosum
Seborrheic%20Eczema_87_vertical.jpg,Seborrheic%20Eczema
Cold%20Sore_43_horizontal.jpg,Cold%20Sore
Keloid_58_horivertical.jpg,Keloid
Cold%20Sore_13.jpg,Cold%20Sore
Dyshidrotic%20Eczema_171_horivertical.jpg,Dyshidrotic%20Eczema
Skin%20Cancer_25.jpg,Skin%20Cancer
Keloid_127.jpg,Keloid
Acrodermatitis_155_vertical.jpg,Acrodermatitis
Mouth%20Ulcers_174_vertical.jpg,Mouth%20Ulcers
Psoriasis_22rotated180.jpg,Psoriasis
Seborrheic%20Eczema_172_horizontal.jpg,Seborrheic%20Eczema
Lupus_5rotated180.jpg,Lupus
Keloid_64_vertical.jpg,Keloid
Vitiligo_75rotated270.jpg,Vitiligo
Stasis%20Dermatitis%20and%20Leg%20Ulcers_133_vertical.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Cellulitis_41rotated180.jpg,Cellulitis
Ichthyosis%20Vulgaris_90rotated90.jpg,Ichthyosis%20Vulgaris
Necrotizing%20Fasciitis_38.jpg,Necrotizing%20Fasciitis
Cutaneous%20Candidiasis_73.jpg,Cutaneous%20Candidiasis
Hemangioma%20of%20Skin_99_vertical.jpg,Hemangioma%20of%20Skin
Rosacea_30rotated270.jpg,Rosacea
Cellulitis_25_vertical.jpg,Cellulitis
Lichen%20Planus_58.jpg,Lichen%20Planus
Dyshidrotic%20Eczema_179_vertical.jpg,Dyshidrotic%20Eczema
Corns%20and%20Calluses_83rotated270.jpg,Corns%20and%20Calluses
Hives_54rotated270.jpg,Hives
Hemangioma%20of%20Skin_27rotated270.jpg,Hemangioma%20of%20Skin
Necrotizing%20Fasciitis_46rotated270.jpg,Necrotizing%20Fasciitis
Pilonidal%20Sinus_32.jpg,Pilonidal%20Sinus
Stasis%20Dermatitis%20and%20Leg%20Ulcers_200rotated90.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Rubeola%20(Measles)_111_horivertical.jpg,Rubeola%20(Measles)
Acne_40_horizontal.jpg,Acne
Erysipelas_2rotated270.jpg,Erysipelas
Pemphigoid_204rotated90.jpg,Pemphigoid
Rosacea_27rotated270.jpg,Rosacea
Shingles_103_horivertical.jpg,Shingles
Pemphigoid_103rotated90.jpg,Pemphigoid
Acne_190rotated90.jpg,Acne
Fungal%20Nail%20Infection_49rotated180.jpg,Fungal%20Nail%20Infection
Cutaneous%20Candidiasis_140.jpg,Cutaneous%20Candidiasis
Cutis%20Laxa_79.jpg,Cutis%20Laxa
Vitiligo_58_vertical.jpg,Vitiligo
Pemphigoid_260rotated180.jpg,Pemphigoid
Pemphigoid_51.jpg,Pemphigoid
Hives_4_vertical.jpg,Hives
Cellulitis_10_horizontal.jpg,Cellulitis
Sebaceous%20Cyst_81_horizontal.jpg,Sebaceous%20Cyst
Shingles_23rotated90.jpg,Shingles
Skin%20Cancer_64_horivertical.jpg,Skin%20Cancer
Corns%20and%20Calluses_94_horizontal.jpg,Corns%20and%20Calluses
Tinea%20Versicolor_45rotated180.jpg,Tinea%20Versicolor
Rosacea_1.jpg,Rosacea
Acrodermatitis_96_horivertical.jpg,Acrodermatitis
Rubeola%20(Measles)_141rotated270.jpg,Rubeola%20(Measles)
Psoriasis_118.jpg,Psoriasis
Acne_49_horivertical.jpg,Acne
Seborrheic%20Keratosis_32rotated90.jpg,Seborrheic%20Keratosis
Acne_30_vertical.jpg,Acne
Actinic%20Keratosis_83_horivertical.jpg,Actinic%20Keratosis
Eczema_94.jpg,Eczema
Psoriasis_183.jpg,Psoriasis
Canker%20Sore_39_horizontal.jpg,Canker%20Sore
Hemangioma%20of%20Skin_44rotated270.jpg,Hemangioma%20of%20Skin
Mouth%20Ulcers_102.jpg,Mouth%20Ulcers
Fungal%20Nail%20Infection_73_horizontal.jpg,Fungal%20Nail%20Infection
Tinea%20Versicolor_39rotated90.jpg,Tinea%20Versicolor
Cutaneous%20Candidiasis_140rotated270.jpg,Cutaneous%20Candidiasis
Rubeola%20(Measles)_73_horizontal.jpg,Rubeola%20(Measles)
Actinic%20Keratosis_39_vertical.jpg,Actinic%20Keratosis
Pemphigoid_60.jpg,Pemphigoid
Canker%20Sore_39rotated270.jpg,Canker%20Sore
Carbuncle_14_horivertical.jpg,Carbuncle
Dyshidrotic%20Eczema_192_horizontal.jpg,Dyshidrotic%20Eczema
Decubitus%20Ulcer_68rotated180.jpg,Decubitus%20Ulcer
Fungal%20Nail%20Infection_72.jpg,Fungal%20Nail%20Infection
Dyshidrotic%20Eczema_115rotated270.jpg,Dyshidrotic%20Eczema
Shingles_41rotated180.jpg,Shingles
Diaper%20Rash_20_horizontal.jpg,Diaper%20Rash
Cellulitis_19_horizontal.jpg,Cellulitis
Actinic%20Keratosis_1_horizontal.jpg,Actinic%20Keratosis
Keloid_173rotated270.jpg,Keloid
Stasis%20Dermatitis%20and%20Leg%20Ulcers_93_horivertical.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Seborrheic%20Eczema_122rotated90.jpg,Seborrheic%20Eczema
Lichen%20Planus_24.jpg,Lichen%20Planus
Psoriasis_76rotated180.jpg,Psoriasis
Lichen%20Planus_43.jpg,Lichen%20Planus
Shingles_28_vertical.jpg,Shingles
Fungal%20Nail%20Infection_4rotated90.jpg,Fungal%20Nail%20Infection
Molluscum%20Contagiosum_66rotated270.jpg,Molluscum%20Contagiosum
Rubeola%20(Measles)_191_vertical.jpg,Rubeola%20(Measles)
Pilonidal%20Sinus_21_horivertical.jpg,Pilonidal%20Sinus
Shingles_191rotated180.jpg,Shingles
Sebaceous%20Cyst_46_horivertical.jpg,Sebaceous%20Cyst
Carbuncle_4rotated180.jpg,Carbuncle
Acne_185_horizontal.jpg,Acne
Seborrheic%20Eczema_52rotated90.jpg,Seborrheic%20Eczema
Cutaneous%20Candidiasis_198.jpg,Cutaneous%20Candidiasis
Mouth%20Ulcers_128rotated180.jpg,Mouth%20Ulcers
Dyshidrotic%20Eczema_77rotated180.jpg,Dyshidrotic%20Eczema
Psoriasis_5rotated90.jpg,Psoriasis
Actinic%20Keratosis_47_horizontal.jpg,Actinic%20Keratosis
Lichen%20Planus_118_horizontal.jpg,Lichen%20Planus
Warts_92.jpg,Warts
Shingles_177_vertical.jpg,Shingles
Dyshidrotic%20Eczema_78rotated270.jpg,Dyshidrotic%20Eczema
Dyshidrotic%20Eczema_5rotated270.jpg,Dyshidrotic%20Eczema
Stasis%20Dermatitis%20and%20Leg%20Ulcers_237_vertical.jpg,Stasis%20Dermatitis%20and%20Leg%20Ulcers
Impetigo_92.jpg,Impetigo
Cutaneous%20Candidiasis_79rotated180.jpg,Cutaneous%20Candidiasis
Cold%20Sore_7_horivertical.jpg,Cold%20Sore
Dyshidrotic%20Eczema_167_horizontal.jpg,Dyshidrotic%20Eczema
Cutaneous%20Candidiasis_159_horivertical.jpg,Cutaneous%20Candidiasis
Cold%20Sore_10.jpg,Cold%20Sore
Tinea%20Versicolor_64_vertical.jpg,Tinea%20Versicolor
Acrodermatitis_53.jpg,Acrodermatitis
Cellulitis_28rotated270.jpg,Cellulitis
Keloid_78_horivertical.jpg,Keloid
Rosacea_14rotated270.jpg,Rosacea
Cutaneous%20Candidiasis_93.jpg,Cutaneous%20Candidiasis
Rubeola%20(Measles)_183_horivertical.jpg,Rubeola%20(Measles)
Acne_78rotated270.jpg,Acne
Decubitus%20Ulcer_55_horizontal.jpg,Decubitus%20Ulcer
Impetigo_68rotated90.jpg,Impetigo
Fungal%20Nail%20Infection_44rotated270.jpg,Fungal%20Nail%20Infection
Molluscum%20Contagiosum_45_horizontal.jpg,Molluscum%20Contagiosum
Cold%20Sore_50_horivertical.jpg,Cold%20Sore
Hemangioma%20of%20Skin_134rotated180.jpg,Hemangioma%20of%20Skin
Lichen%20Planus_198_horizontal.jpg,Lichen%20Planus
Psoriasis_6rotated180.jpg,Psoriasis
Hemangioma%20of%20Skin_151rotated90.jpg,Hemangioma%20of%20Skin
Necrotizing%20Fasciitis_81rotated180.jpg,Necrotizing%20Fasciitis
Decubitus%20Ulcer_84rotated270.jpg,Decubitus%20Ulcer
